ILEADSAddress,ILEADSStreet,CITY,STATE,fullSearch,lat,lon,lat_lon_combo
0,N BROADWAY / WITHERS,St. Louis,MO,"0 N BROADWAY / WITHERS, St. Louis, MO",,,"38.6790594,-90.2113719"
0,MARCONI AVE / SHAW A,St. Louis,MO,"0 MARCONI AVE / SHAW A, St. Louis, MO",,,"38.6179364,-90.2746002"
0,S BROADWAY / SALENA,St. Louis,MO,"0 S BROADWAY / SALENA, St. Louis, MO",,,"38.5894407,-90.2229332"
0,S JEFFERSON AVE / CH,St. Louis,MO,"0 S JEFFERSON AVE / CH, St. Louis, MO",,,"38.5861171,-90.2290594"
0,GANO AVE / KOSSUTH A,St. Louis,MO,"0 GANO AVE / KOSSUTH A, St. Louis, MO",,,"38.666003,-90.219201"
5391,DR MARTIN LUTHER KIN,St. Louis,MO,"5391 DR MARTIN LUTHER KIN, St. Louis, MO",,,"38.6675972,-90.2725208"
2000,E. JOHN,St. Louis,MO,"2000 E. JOHN, St. Louis, MO",,,"38.6716819,-90.2119857"
0,N NEWSTEAD AVE / SAI,St. Louis,MO,"0 N NEWSTEAD AVE / SAI, St. Louis, MO",,,"38.6641947,-90.2426454"
0,EMILY ST / E DE SOTO,St. Louis,MO,"0 EMILY ST / E DE SOTO, St. Louis, MO",,,"38.6729137,-90.2158803"
0,I 44 WESTBOUND / S J,St. Louis,MO,"0 I 44 WESTBOUND / S J, St. Louis, MO",,,NA
0,CALIFORNIA AVE / OSC,St. Louis,MO,"0 CALIFORNIA AVE / OSC, St. Louis, MO",,,"38.575955,-90.2359022"
0,ARKANSAS AVE / HARTF,St. Louis,MO,"0 ARKANSAS AVE / HARTF, St. Louis, MO",,,"38.6015382,-90.2423519"
0,SUMMIT PL / GLADYS A,St. Louis,MO,"0 SUMMIT PL / GLADYS A, St. Louis, MO",,,"38.7131184,-90.2494251"
0,CHESTNUT ST / N MEMO,St. Louis,MO,"0 CHESTNUT ST / N MEMO, St. Louis, MO",,,"38.6256299,-90.1894646"
4228,E LEXINGTON AVE,St. Louis,MO,"4228 E LEXINGTON AVE, St. Louis, MO",,,"38.6662907,-90.2344418"
3219,PALM PL,St. Louis,MO,"3219 PALM PL, St. Louis, MO",,,"38.6597705,-90.2181991"
2001,E GRAND BLVD,St. Louis,MO,"2001 E GRAND BLVD, St. Louis, MO",,,"38.67064,-90.2111907"
4260,E LABADIE AVE,St. Louis,MO,"4260 E LABADIE AVE, St. Louis, MO",,,"38.6627527,-90.2372331"
5731,DR MARTIN LUTHER KIN,St. Louis,MO,"5731 DR MARTIN LUTHER KIN, St. Louis, MO",,,"38.6716784,-90.280352"
2115,E PRAIRIE AVE,St. Louis,MO,"2115 E PRAIRIE AVE, St. Louis, MO",,,"38.672161,-90.215902"
4404,WALLACE AVE,St. Louis,MO,"4404 WALLACE AVE, St. Louis, MO",,,"38.5829368,-90.2720833"
0,MEMORIAL DR / WASHIN,St. Louis,MO,"0 MEMORIAL DR / WASHIN, St. Louis, MO",,,"38.6296724,-90.188406"
0,MCLAREN @ RIVERVIEW,St. Louis,MO,"0 MCLAREN @ RIVERVIEW, St. Louis, MO",,,"38.716068,-90.2434392"
0,DE BALIVIERE AVE / P,St. Louis,MO,"0 DE BALIVIERE AVE / P, St. Louis, MO",,,NA
0,CORA AVE / MARGARETT,St. Louis,MO,"0 CORA AVE / MARGARETT, St. Louis, MO",,,"38.6745243,-90.2427948"
0,LEE AVE / PRAIRIE AV,St. Louis,MO,"0 LEE AVE / PRAIRIE AV, St. Louis, MO",,,"38.6677686,-90.219706"
0,N 1ST ST / CARR ST,St. Louis,MO,"0 N 1ST ST / CARR ST, St. Louis, MO",,,"38.6339568,-90.1847425"
4162,W NATURAL BRIDGE AVE,St. Louis,MO,"4162 W NATURAL BRIDGE AVE, St. Louis, MO",,,"38.6659714,-90.2311209"
0,E FARLIN AVE / RED B,St. Louis,MO,"0 E FARLIN AVE / RED B, St. Louis, MO",,,"38.6706883,-90.2319869"
5854,DR MARTIN LUTHER KIN,St. Louis,MO,"5854 DR MARTIN LUTHER KIN, St. Louis, MO",,,"38.6727563,-90.2834797"
0,WEST BOUND I44 @ JEF,St. Louis,MO,"0 WEST BOUND I44 @ JEF, St. Louis, MO",,,"38.6135114,-90.2176797"
0,BEACON AVE / PRANGE,St. Louis,MO,"0 BEACON AVE / PRANGE, St. Louis, MO",,,"38.6929491,-90.2568889"
0,GERTRUDE AVE / GRAVO,St. Louis,MO,"0 GERTRUDE AVE / GRAVO, St. Louis, MO",,,"38.5782885,-90.2732543"
5100,DR MARTIN LUTHER KIN,St. Louis,MO,"5100 DR MARTIN LUTHER KIN, St. Louis, MO",,,"38.66411,-90.2674097"
0,GOODFELLOW BLVD / LA,St. Louis,MO,"0 GOODFELLOW BLVD / LA, St. Louis, MO",,,NA
600,N LEONOR K SULLIVAN,St. Louis,MO,"600 N LEONOR K SULLIVAN, St. Louis, MO",,,"38.6337522,-90.1837566"
1219,BRISTOL LN,St. Louis,MO,"1219 BRISTOL LN, St. Louis, MO",,,NA
0,TENNESSEE AVE / ITAS,St. Louis,MO,"0 TENNESSEE AVE / ITAS, St. Louis, MO",,,"38.5740122,-90.2504316"
0,DELMAR BLVD / UNION,St. Louis,MO,"0 DELMAR BLVD / UNION, St. Louis, MO",,,"38.6526613,-90.2755662"
0,N EUCLID AVE / PAGE,St. Louis,MO,"0 N EUCLID AVE / PAGE, St. Louis, MO",,,"38.6596182,-90.2613352"
118,DE BALIVIERE,St. Louis,MO,"118 DE BALIVIERE, St. Louis, MO",,,"38.6455936,-90.2881889"
4252,E FARLIN AVE,St. Louis,MO,"4252 E FARLIN AVE, St. Louis, MO",,,"38.671779,-90.2349628"
5980,DR MARTIN LUTHER KIN,St. Louis,MO,"5980 DR MARTIN LUTHER KIN, St. Louis, MO",,,"38.674741,-90.287159"
0,NEWBERRY TER / WALTO,St. Louis,MO,"0 NEWBERRY TER / WALTO, St. Louis, MO",,,"38.6561048,-90.2589278"
4702,DR MARTIN LUTHER KIN,St. Louis,MO,"4702 DR MARTIN LUTHER KIN, St. Louis, MO",,,"38.6601816,-90.2559734"
4458,DR MARTIN LUTHER KIN,St. Louis,MO,"4458 DR MARTIN LUTHER KIN, St. Louis, MO",,,"38.657025,-90.249456"
401,S 14TH,St. Louis,MO,"401 S 14TH, St. Louis, MO",,,"38.6312698,-90.2021644"
2822,DR MARTIN LUTHER KIN,St. Louis,MO,"2822 DR MARTIN LUTHER KIN, St. Louis, MO",,,"38.6391003,-90.2196938"
0,CHOUTEAU AVE / S VAN,St. Louis,MO,"0 CHOUTEAU AVE / S VAN, St. Louis, MO",,,"38.6282274,-90.2498504"
3500,I 70 WESTBOUND,St. Louis,MO,"3500 I 70 WESTBOUND, St. Louis, MO",,,NA
4600,RICHARD PL/  KENNETH,St. Louis,MO,"4600 RICHARD PL/  KENNETH, St. Louis, MO",,,"38.6813784,-90.2371859"
809,W COURTOIS ST,St. Louis,MO,"809 W COURTOIS ST, St. Louis, MO",,,"38.5485343,-90.2655396"
1000,N LEONOR K SULLIVAN,St. Louis,MO,"1000 N LEONOR K SULLIVAN, St. Louis, MO",,,"38.6323192,-90.1836261"
0,ASHLAND AVE / N PRAI,St. Louis,MO,"0 ASHLAND AVE / N PRAI, St. Louis, MO",,,"38.6606101,-90.2240607"
0,I 270 / RIVERVIEW DR,St. Louis,MO,"0 I 270 / RIVERVIEW DR, St. Louis, MO",,,"38.7724573,-90.2182993"
0,MIAMI ST / OREGON AV,St. Louis,MO,"0 MIAMI ST / OREGON AV, St. Louis, MO",,,"38.5904245,-90.2341177"
4561,DR MARTIN LUTHER KIN,St. Louis,MO,"4561 DR MARTIN LUTHER KIN, St. Louis, MO",,,"38.6588826,-90.2521101"
0,STADIUM PLZ / CLARK,St. Louis,MO,"0 STADIUM PLZ / CLARK, St. Louis, MO",,,"38.622571,-90.1952217"
0,N GRAND BLVD / N MAR,St. Louis,MO,"0 N GRAND BLVD / N MAR, St. Louis, MO",,,NA
4100,W NATURAL BRIDGE AVE,St. Louis,MO,"4100 W NATURAL BRIDGE AVE, St. Louis, MO",,,"38.6654202,-90.2293297"
5434,DR MARTIN LUTHER KIN,St. Louis,MO,"5434 DR MARTIN LUTHER KIN, St. Louis, MO",,,"38.667762,-90.274005"
0,PENROSE ST / OBEAR A,St. Louis,MO,"0 PENROSE ST / OBEAR A, St. Louis, MO",,,"38.6672446,-90.2164606"
0,N 18TH ST / BIDDLE S,St. Louis,MO,"0 N 18TH ST / BIDDLE S, St. Louis, MO",,,"38.6390278,-90.2050658"
0,HILL ST / S BROADWAY,St. Louis,MO,"0 HILL ST / S BROADWAY, St. Louis, MO",,,"38.5661654,-90.2411235"
0,OREGON AVE / GASCONA,St. Louis,MO,"0 OREGON AVE / GASCONA, St. Louis, MO",,,"38.5814633,-90.2359347"
2003,E COLLEGE AVE,St. Louis,MO,"2003 E COLLEGE AVE, St. Louis, MO",,,"38.6796888,-90.2171951"
0,GOODFELLOW BLVD / MC,St. Louis,MO,"0 GOODFELLOW BLVD / MC, St. Louis, MO",,,NA
0,N TAYLOR AVE / WASHI,St. Louis,MO,"0 N TAYLOR AVE / WASHI, St. Louis, MO",,,"38.6493167,-90.2563161"
100,DR MARTIN LUTHER KIN,St. Louis,MO,"100 DR MARTIN LUTHER KIN, St. Louis, MO",,,"38.6565273,-90.2473042"
0,N 10TH ST / WASHINGT,St. Louis,MO,"0 N 10TH ST / WASHINGT, St. Louis, MO",,,"38.6311496,-90.1960052"
